title,author,link,cover_image_url
Brazilian adventure,byPeter Fleming,https://openlibrary.org/books/OL3496971M/Brazilian_adventure,//covers.openlibrary.org/b/id/9911584-M.jpg
News from Tartary: A Journey from Peking to Kashmir,byPeter Fleming,https://openlibrary.org/books/OL3486308M/News_from_Tartary,//covers.openlibrary.org/b/id/8782833-M.jpg
The siege at Peking,byPeter Fleming,https://openlibrary.org/books/OL19604949M/The_siege_at_Peking,//covers.openlibrary.org/b/id/11713567-M.jpg
One's company: a journey to China in 1933,byPeter Fleming,https://openlibrary.org/books/OL22719148M/One's_company,//covers.openlibrary.org/b/id/12163773-M.jpg
The fate of Admiral Kolchak.,byPeter Fleming,https://openlibrary.org/books/OL5885465M/The_fate_of_Admiral_Kolchak.,//covers.openlibrary.org/b/id/9302752-M.jpg
The Physical sciences in the twentieth century,byOwen Gingerich,https://openlibrary.org/books/OL17727859M/The_Physical_sciences_in_the_twentieth_century,//covers.openlibrary.org/b/id/9660699-M.jpg
The Cultural drama: modern identities and social ferment.,byOwen Gingerich,https://openlibrary.org/books/OL5045918M/The_Cultural_drama,//covers.openlibrary.org/b/id/10042152-M.jpg
The great Copernicus chase and other adventures in astronomical history,byOwen Gingerich,https://openlibrary.org/books/OL1863989M/The_great_Copernicus_chase_and_other_adventures_in_astronomical_history,//covers.openlibrary.org/b/id/333517-M.jpg
The Wittich connection: conflict and priority in late sixteenth-century cosmology,byOwen Gingerich,https://openlibrary.org/books/OL2069841M/The_Wittich_connection,//covers.openlibrary.org/b/id/1619205-M.jpg
The Pasquier chronicles,byGeorges Duhamel,https://openlibrary.org/books/OL6375759M/The_Pasquier_chronicles,//covers.openlibrary.org/b/id/10594130-M.jpg
Papa Pasquier,byGeorges Duhamel,https://openlibrary.org/books/OL6310553M/Papa_Pasquier,//covers.openlibrary.org/b/id/11692175-M.jpg
Flaubert and Madame Bovary: a double portrait.,byFrancis Steegmuller,https://openlibrary.org/books/OL6055368M/Flaubert_and_Madame_Bovary,//covers.openlibrary.org/b/id/9437710-M.jpg
Selected letters,byGustave FlaubertandFrancis Steegmuller,https://openlibrary.org/books/OL6134130M/Selected_letters,//covers.openlibrary.org/b/id/6764287-M.jpg
"Apollinaire, poet among the painters.",byFrancis Steegmuller,https://openlibrary.org/books/OL5884956M/Apollinaire_poet_among_the_painters.,//covers.openlibrary.org/b/id/7135041-M.jpg
The Grand Mademoiselle.,byFrancis Steegmuller,https://openlibrary.org/books/OL6179082M/The_Grand_Mademoiselle.,//covers.openlibrary.org/b/id/9293665-M.jpg
"Maupassant, a lion in the path.",byFrancis Steegmuller,https://openlibrary.org/books/OL6050692M/Maupassant_a_lion_in_the_path.,//covers.openlibrary.org/b/id/6537385-M.jpg
Silence at Salerno: a comedy of intrigue,byFrancis Steegmuller,https://openlibrary.org/books/OL4549518M/Silence_at_Salerno,//covers.openlibrary.org/b/id/4416150-M.jpg
Stories and true stories,byFrancis Steegmuller,https://openlibrary.org/books/OL26251458M/Stories_and_true_stories,//covers.openlibrary.org/b/id/7918668-M.jpg
Miracle on Sinai: a satirical novel,byOsbert Sitwell,https://openlibrary.org/books/OL6300417M/Miracle_on_Sinai,//covers.openlibrary.org/b/id/9696948-M.jpg
Argonaut and juggernaut.,byOsbert Sitwell,https://openlibrary.org/books/OL7173850M/Argonaut_and_juggernaut.,//covers.openlibrary.org/b/id/5654461-M.jpg
"Death of a god, and other stories.",byOsbert Sitwell,https://openlibrary.org/books/OL6080200M/Death_of_a_god_and_other_stories.,//covers.openlibrary.org/b/id/9941930-M.jpg
Trio; dissertations on some aspects of national genius,byOsbert Sitwell,https://openlibrary.org/books/OL4760918M/Trio_dissertations_on_some_aspects_of_national_genius,//covers.openlibrary.org/b/id/8278013-M.jpg
Rat Week an Essay On the Abdication,byOsbert Sitwell,https://openlibrary.org/books/OL10530607M/Rat_Week_an_Essay_On_the_Abdication,//covers.openlibrary.org/b/id/10994200-M.jpg
Noble essences: a book of characters,byOsbert Sitwell,https://openlibrary.org/books/OL26552774M/Noble_essences,//covers.openlibrary.org/b/id/10052999-M.jpg
The dresser,byRonald Harwood,https://openlibrary.org/books/OL4267253M/The_dresser,//covers.openlibrary.org/b/id/9789390-M.jpg
Dear Alec: Guinness at 75,byRonald Harwood,https://openlibrary.org/books/OL22277277M/Dear_Alec,//covers.openlibrary.org/b/id/10983787-M.jpg
